codigo_programa;nome_programa;exclusao_logica_programa;indicador;exclusao_logica_indicador;unidade_de_medida;indice_de_referencia;em_apuracao_indice_de_referencia;data_de_apuracao;previsao_para_2021;em_apuracao_2021;previsao_para_2022;em_apuracao_2022;previsao_para_2023;em_apuracao_2023;previsao_para_2024;em_apuracao_2024;fonte;periodicidade;base_geografica;formula_de_calculo;justificativa_status_em_apuracao_das_previsaoes_dos_indices;justificativa_status_em_apuracao_indice_de_referencia;data_alteracao;indicador_novo;polaridade
31;APERFEIÇOAMENTO ÀS AÇÕES DE CONTROLE E FOMENTO À GESTÃO DE RISCOS;False;ÍNDICE DE CUMPRIMENTO DO PLANEJAMENTO ANUAL DOS TRABALHOS DE AUDITORIA E FISCALIZAÇÃO;False;%;;Em Apuração;;60,0;;65,0;;70,0;;75,0;;AUDITORIA-GERAL;Anual;Estadual;(NÚMERO DE TRABALHOS DE AUDITORIA INTERNA GOVERNAMENTAL PLANEJADOS CONCLUÍDOS/NÚMERO DE TRABALHOS DE AUDITORIA INTERNA GOVERNAMENTAL PLANEJADOS)*100;;SERÁ APURADO AO FINAL DO ANO;2020-10-01 15:57:00;False;MAIOR
31;APERFEIÇOAMENTO ÀS AÇÕES DE CONTROLE E FOMENTO À GESTÃO DE RISCOS;False;COEFICIENTE DE EVOLUÇÃO DA CAPACIDADE DA AUDITORIA INTERNA - NÍVEL 2 IA-CM;False;%;;Em Apuração;;100,0;;100,0;;100,0;;100,0;;AUDITORIA-GERAL;Anual;Estadual;(NÚMERO DE INICIATIVAS IMPLEMENTADAS DO PLANO DE AÇÃO/NÚMERO TOTAL DAS AÇÕES PREVISTAS NO PLANO DE AÇÃO IA-CM)*100AS INICIATIVAS IMPLEMENTADAS COMPREENDEM OS ITENS DESTACADOS EM PLANO DE AÇÃO IA-CM E AS INCIATIVAS IMPLEMENTADAS NO PLANO DE INTEGRIDADE ADERENTES À METODOLOGIA IA-CM.;;SERÁ APURADO AO FINAL DE CADA ANO;2020-10-01 15:57:00;False;MAIOR
31;APERFEIÇOAMENTO ÀS AÇÕES DE CONTROLE E FOMENTO À GESTÃO DE RISCOS;False;COEFICIENTE DE EVOLUÇÃO DA CAPACIDADE DA AUDITORIA INTERNA - NÍVEL 3 IA-CM;False;%;;Em Apuração;;0,0;;40,0;;100,0;;100,0;;AUDITORIA-GERAL;Anual;Estadual;(NÚMERO DE INICIATIVAS IMPLEMENTADAS DO PLANO DE AÇÃO/NÚMERO TOTAL DAS AÇÕES PREVISTAS NO PLANO DE AÇÃO IA-CM)*100AS INICIATIVAS IMPLEMENTADAS COMPREENDEM OS ITENS DESTACADOS EM PLANO DE AÇÃO IA-CM E AS INCIATIVAS IMPLEMENTADAS NO PLANO DE INTEGRIDADE ADERENTES À METODOLOGIA IA-CM.;;SERÁ APURADO AO FINAL DE CADA ANO;2020-10-01 15:57:00;False;MAIOR
32;TRANSPARÊNCIA E FORTALECIMENTO DA INTEGRIDADE;False;PERCENTUAL DAS CONSULTAS DO PORTAL DA TRANSPARÊNCIA DIVULGADAS NO PORTAL DE DADOS ABERTOS DE MANEIRA TEMPESTIVA;False;%;0,0;;2019-07-05;40,0;;60,0;;80,0;;90,0;;DIRETORIA DE TRANSPARÊNCIA ATIVA / CONTROLADORIA-GERAL DO ESTADO;Anual;Estadual;NÚMERO DE BASES DE DADOS DIVULGADAS NO PORTAL DE DADOS ABERTOS NA MESMA PERIODICIDADE DE ATUALIZAÇÃO DAS CONSULTAS ORIGINÁRIAS DO PORTAL DA TRANSPARÊNCIA, SOBRE AS CONSULTAS DO PORTAL DA TRANSPARÊNCIA.;;;2020-10-01 15:57:00;False;MAIOR
32;TRANSPARÊNCIA E FORTALECIMENTO DA INTEGRIDADE;False;PERCENTUAL DE PLANOS DE INTEGRIDADE ESPECÍFICOS DOS ÓRGÃOS/ENTIDADES MONITORADOS;False;%;;Em Apuração;;80,0;;90,0;;95,0;;100,0;;SISTEMA DE INTEGRIDADE DESENVOLVIDO PELA CGE, OU PLANILHAS DE MONITORAMENTO.;Anual;Estadual;(NÚMERO DE PLANOS DE INTEGRIDADE EM FORMULAÇÃO OU PUBLICADOS EFETIVAMENTE MONITORADOS / NÚMERO DE PLANOS DE INTEGRIDADE EM FORMULAÇÃO OU PUBLICADOS) *100;;PRIMEIRO ANO DE APURAÇÃO DO INDICADOR, SERÁ APURADO NO FINAL DO ANO;2020-10-01 15:57:00;False;MAIOR
32;TRANSPARÊNCIA E FORTALECIMENTO DA INTEGRIDADE;False;PERCENTUAL DE PEDIDOS DA LEI DE ACESSO A INFORMAÇÃO RESPONDIDOS NO PRAZO;False;%;83,0;;2019-06-28;89,0;;92,0;;95,0;;95,0;;SISTEMA ELETRÔNICO DO SERVIÇO DE INFORMAÇÃO AO CIDADÃO (E-SIC);Anual;Estadual;NÚMERO TOTAL DE PEDIDOS REALIZADOS NO PERÍODO DE 1 (UM) ANO E RESPONDIDOS NO PRAZO, SOBRE O TOTAL DE PEDIDOS REALIZADOS NO MESMO PERÍODO.;;;2020-10-01 15:57:00;False;MAIOR
33;COMBATE À CORRUPÇÃO;False;RELATÓRIOS CONSOLIDADOS DE ALAVANCAGEM INVESTIGATIVA- PRODUZIDOS;False;UNIDADE;;Em Apuração;;1,0;;1,0;;1,0;;1,0;;NÚCLEO DE COMBATE À CORRUPÇÃO;Anual;Estadual;RELATÓRIOS EMITIDOS/RELATÓRIOS PREVISTOS;;SERÁ APURADO NO FINAL DO ANO;2020-10-01 15:57:00;False;MAIOR
33;COMBATE À CORRUPÇÃO;False;TEMPO MÉDIO DE DURAÇÃO DOS PROCESSOS ADMINISTRATIVOS DISCIPLINARES CONDUZIDOS NO ÂMBITO DA CORREGEDORIA-GERAL - COGE;False;Mês;29,3;;2018-12-31;26,0;;24,0;;22,0;;20,0;;CORREGEDORIA-GERAL;Anual;Estadual;SOMATÓRIO DO NÚMERO DE DIAS ENTRE A DATA DA PUBLICAÇÃO DA INSTAURAÇÃO E DO JULGAMENTO DOS PROCESSOS ADMINISTRATIVOS DISCIPLINARES CONDUZIDOS PELA COGE/NÚMERO DE PROCESSOS CONCLUÍDOS NO PERÍODO AVALIADO, SEM CASAS DECIMAIS (= TEMPO MÉDIO EM MESES);;;2020-10-01 15:57:00;False;MENOR
33;COMBATE À CORRUPÇÃO;False;PERCENTUAL DE EXECUÇÃO DO PLANO ANUAL DE AÇÕES CORRECIONAIS DE PREVENÇÃO;False;%;;Em Apuração;;80,0;;85,0;;90,0;;90,0;;SUPERINTENDÊNCIA CENTRAL DE ANÁLISE E SUPERVISÃO CORRECIONAL – SASC;Anual;Estadual;AÇÕES EXECUTADAS/AÇÕES PLANEJADAS*100;;SERÁ APURADO NO FINAL DO ANO;2020-10-01 15:57:00;False;MAIOR
34;POLICIA OSTENSIVA;False;EFETIVIDADE DAS OPERAÇÕES DE REPRESSÃO QUALIFICADA DA VIOLÊNCIA (RQV);False;número absoluto;64,02;;2019-12-31;64657,0;;65303,0;;65956,0;;65956,0;;POLÍCIA MILITAR DE MINAS GERAIS (1251);Mensal;Estadual;OPERAÇÕES POLICIAIS DO RQV = SOMA DO TOTAL DE OPERAÇÕES COM EFETIVIDADE DAS NATUREZAS: Y07.001 - BATIDA POLICIAL, Y07.003 - INCURSÃO ZONA QUENTE DE CRIMINALIDADE (ZQC), Y07.004 – CERCO, BLOQUEIO E INTERCEPTAÇÃO E Y07.005 - OCUPAÇÃO DE PONTOS CRÍTICOS DE ZQC.EFETIVIDADE (EFE) = QUANTIDADE DE OPERAÇÕES QUE ATENDEREM AOS CRITÉRIOS DE EFICIÊNCIA, EFICÁCIA E EFETIVIDADE.;;;2020-10-01 15:57:00;False;MAIOR
36;DESENVOLVIMENTO DO ENSINO FUNDAMENTAL E MÉDIO NOS COLÉGIOS TIRADENTES DA POLÍCIA MILITAR;False;DESEMPENHO NAS AVALIAÇÕES ESCOLARES ENSINO FUNDAMENTAL I, ENSINO FUNDAMENTAL II E ENSINO MÉDIO;False;Média;73,0;;2019-12-31;74,46;;75,19;;75,92;;76,65;;DEEAS3 (SIEA);Anual;Estadual;DESEMPENHO NAS AVALIAÇÕES ESCOLARES:ENSINO FUNDAMENTAL I, ENSINO FUNDAMENTAL II E ENSINO MÉDIOFÓRMULA:INDICADOR DEEAS: (MÉDIA EF1 + MÉDIA EF2 + MÉDIA EM) / 3ATUALIZAÇÃO DO CÁLCULO DO INDICADOR PARA 2021:1)ENSINO FUNDAMENTAL I1º ANO:MÉDIA 1ª ETAPA: (1AP1 + 1AP2 + 1AP3) / 3 + MÉDIA 2ª ETAPA: {2AP1 + 2AP2 +2TA + (2AP3 + 2AV3/2)/4 }+ MÉDIA 3ª ETAPA: {3AP1 + 3AP2 +3TA + (3AP3 + 3AV3/2)/4 }/3= MÉDIA FINAL2º ANOMÉDIA 1ª ETAPA: {1AP1 + 1AP2 + 1TA + (1AP3+AV3/2)/) / 4 + MÉDIA 2ª ETAPA: {2AP1 + (2AP2 +2AV2/2)+2TA + (2AP3 + 2AV3/2)/4 }+ MÉDIA 3ª ETAPA: {3AP1 + ( 3AP2+ 3AV2/2)+3TA + (3AP3 + 3AV3/2)/4 }/3= MÉDIA FINAL3º AO 5º ANOS DO EFIMÉDIA 1ª ETAPA: {(1AP1 + 1AV1/2)+ (1AP2 +1AV2/2)+ 1TA +1TE (1AP3+AV3/2)/) / 5 + MÉDIA 2ª ETAPA: {(2AP1 +2AV1/2) + (2AP2 +2AV2/2)+2TA +2TE + (2AP3 + 2AV3/2)/5 }+ MÉDIA 3ª ETAPA: {(3AP1+3AV1/2) + ( 3AP2+ 3AV2/2)+3TA +3TE (3AP3 + 3AV3/2)/5}/3= MÉDIA FINALMÉDIA DO EFI: MÉDIA DO 1ºANOEFI + MÉDIA DO 2ºANOEFI +MÉDIA DO 3º AO 5º DO EFI/32) ENSINO FUNDAMENTAL II6º AO 9º ANOSMÉDIA 1ª ETAPA: {(1AP1 + 1AV1/2)+ (1AP2 +1AS/2)+ 1TA +1TE (1AP3+AV3/2)/) / 5 + MÉDIA 2ª ETAPA: {(2AP1 +2AV1/2) + (2AP2 +2AS/2)+2TA +2TE + (2AP3 + 2AV3/2)/5 } + MÉDIA 3ª ETAPA: {(3AP1+3AV1/2) + ( 3AP2+ 3AS/2)+3TA +3TE (3AP3 + 3AV3/2)/5}/33)MÉDIA TOTAL DO ENSINO FUNDAMENTALMÉDIA EFI + MEDIA EFII/24)ENSINO MÉDIO1º AO 3º EMMÉDIA 1ª ETAPA: {(1AP1 + 1AV1/2)+ AS+ 1TA +1TE (1AP3+AV3/2)/) / 5 + MÉDIA 2ª ETAPA: {(2AP1 +2AV1/2) + 2AS+2TA +2TE + (2AP3 + 2AV3/2)/5 }+ MÉDIA 3ª ETAPA: {(3AP1+3AV1/2) + AS+3TA +3TE (3AP3 + 3AV3/2)/5}/3LEGENDA: AS SIGLAS CORRESPONDEM ÀS MODALIDADES DE AVALIAÇÕES FORMATIVAS E AS ATIVIDADES AVALIATIVAS DE CARATER QUANTITATIVO E QUALITATIVO ADOTADAS PELA REDE CTPM:AP – AVALIAÇÃO PROGRESSIVAAV – AVALIAÇÕESAS – AVALIAÇÕES DO SISTEMATA –TESTE DE APRENDIZAGEMTE – TAREFA ESCOLARPARA CALCULO DE CADA MÉDIA DO TIPO DE INSTRUMENTO AVALIATIVO INSERIDO NAS FÓRMULAS, É REALIZADA A MÉDIA DOS COMPONENTES CURRICULARES, CONFORME O ANO ESCOLAR.REF: INSTRUÇÃO PEDAGÓGICA 01/2020;;;2020-10-01 15:57:00;False;MAIOR
37;ASSISTÊNCIA AO MILITAR;False;ÍNDICE DE UTILIZAÇÃO DA CAPACIDADE INSTALADA PARA CONSULTAS;False;índice;83,93;;2020-01-01;85,99;;88,13;;90,33;;92,58;;DIRETORIA DE SAÚDE - DS/PMMG;Anual;Estadual;9. FÓRMULA DE CÁLCULO:O CÁLCULO DA CAPACIDADE INSTALADA DEVERÁ SER REALIZADO CONFORME A NATUREZA DO ATENDIMENTO (MÉDICO, ODONTOLÓGICO OU PSICOLÓGICO), DE ACORDO COM A SEGUINTE FÓRMULA:(TOTAL DE CONSULTAS EFETIVADAS / TOTAL DE CONSULTAS OFERTADAS)*100 ONDE:CONSULTAS EFETIVADAS = CONSULTAS EFETIVAMENTE REALIZADAS (AGENDADAS OU DEMANDA LIVRE).CONSULTAS OFERTADAS = DISPONIBILIDADE MENSAL DA CAPACIDADE DE CONSULTAS DAS UNIDADES DE SAÚDE DA PMMG, CONSIDERANDO, 12 (DOZE) CONSULTAS DIÁRIAS DE 20 (VINTE) MINUTOS POR MÉDICO E 05 (CINCO) CONSULTAS DIÁRIAS DE 50(CINQUENTA) POR DENTISTA E PSICÓLOGO.DESCRIÇÃO:É UM INDICADOR DE EFICIÊNCIA QUE REPRESENTA O PERCENTUAL DA UTILIZAÇÃO DACAPACIDADE INSTALADA PARA A REALIZAÇÃO DE CONSULTAS DE SAÚDE NA REDE ORGÂNICA.ESTE INDICADOR EXPRESSA O NÚMERO DE CONSULTAS EFETIVADAS EM RELAÇÃO ÀS CONSULTAS OFERTADAS NAS DIVERSAS ESPECIALIDADES, EM DETERMINADO PERÍODO DE TEMPO.;;;2020-10-01 15:57:00;False;MAIOR
41;MINAS ATENDE;False;ÍNDICE DE TRANSFORMAÇÃO DIGITAL DE SERVIÇOS PÚBLICOS - ITD;False;%;45,0;;2019-07-31;68,0;;72,0;;78,0;;80,0;;RELATÓRIO DO PORTAL MG.GOV.BR;Anual;Estadual;NÚMERO DE ETAPAS DIGITAIS + AUTOSERVIÇO / NÚMERO TOTAL DE ETAPAS;;;2020-10-01 15:57:00;False;MAIOR
41;MINAS ATENDE;False;COEFICIENTE DE EFICIÊNCIA DAS UAIS;False;%;97,5;;2020-04-01;97,7;;97,9;;98,0;;98,2;;SISTEMA DE GESTÃO DE ATENDIMENTO;Anual;Estadual;COEF = PGS*0,5 + TE*0,4 + QS*0,1 ONDE:PGS= PONTUAÇÃO OBTIDA A PARTIR DO GRAU DE SATISFAÇÃO DO CIDADÃO, AVALIADO NO MOMENTO DO ATENDIMENTO NO GUICHÊTE = PONTUAÇÃO OBTIDA A PARTIR DO TEMPO DE ESPERA MÉDIO DE TODOS OS SERVIÇOSQS = PONTUAÇÃO QUANTIDADE DE SENHAS ATENDIDAS EM RELAÇÃO A QUANTIDADE DE SENHAS EMITIDAS;;;2020-10-01 15:57:00;True;MAIOR
43;FOMENTO AO ESPORTE, À ATIVIDADE FÍSICA E AO LAZER;False;TAXA DE INTERIORIZAÇÃO DO PROGRAMA;False;PERCENTAGEM;82,7;;2020-07-20;80,0;;80,0;;80,0;;80,0;;SUBSECRETARIA DE ESPORTES A PARTIR DO REGISTRO DE EXECUÇÃO ORÇAMENTÁRIA NO SIAFI/SIGPLAN;Anual;Estadual;SOMATÓRIA DA DESPESA REALIZADA DO PROGRAMA EM TODAS AS REGIÕES DE PLANEJAMENTO EXCETO A REGIÃO INTERMEDIÁRIA DE BELO HORIZONTE NO ANO ANTERIOR / DESPESA TOTAL REALIZADA DE FOMENTO DO ESPORTE, DA ATIVIDADE FÍSICA E DO LAZER NO ANO ANTERIORX100;;;2020-10-01 15:57:00;False;MAIOR
43;FOMENTO AO ESPORTE, À ATIVIDADE FÍSICA E AO LAZER;False;PERCENTUAL DE MUNICÍPIOS MINEIROS BENEFICIADOS POR AÇÕES DA SUBSECRETARIA DE ESPORTES;False;Percentual;86,75;;2020-07-20;45,0;;50,0;;55,0;;60,0;;SUBSECRETARIA DE ESPORTES A PARTIR DO REGISTRO DE EXECUÇÃO FÍSICA NO SIGPLAN;Anual;Estadual;(NUMERO DE MUNICÍPIOS BENEFICIADOS POR NO MÍNIMO UMA AÇÃO DA SUBSECRETARIA DE ESPORTES NO ANO ANTERIOR / TOTAL DE MUNICIPIOS MINEIROS)*100;;;2020-10-01 15:57:00;False;MAIOR
43;FOMENTO AO ESPORTE, À ATIVIDADE FÍSICA E AO LAZER;False;PERCENTUAL DE MUNICÍPIOS MINEIROS COM BAIXO IDH-M ATENDIDOS POR AÇÕES DA SUBSECRETARIA DE ESPORTES;False;Percentual;87,67;;2020-07-20;43,84;;45,34;;46,84;;48,34;;SUBSECRETARIA DE ESPORTES A PARTIR DO REGISTRO DE EXECUÇÃO FÍSICA NO SIGPLAN;Anual;Estadual;(NUMERO DE MUNICÍPIOS COM IDH-M BAIXO BENEFICIADOS POR NO MÍNIMO UMA AÇÃO DA SUBSECRETARIA DE ESPORTES NO ANO ANTERIOR / TOTAL DE MUNICIPIOS MINEIROS COM IDH-M BAIXO)*100;;;2020-10-01 15:57:00;False;MAIOR
43;FOMENTO AO ESPORTE, À ATIVIDADE FÍSICA E AO LAZER;False;PERCENTUAL DE ATLETAS BENEFICIADOS COM O BOLSA ATLETA COM MELHORA DE DESEMPENHO;False;PERCENTAGEM;70,45;;2020-07-20;80,0;;86,0;;88,0;;90,0;;DIRETORIA DE INCENTIVO AO ESPORTE DE RENDIMENTO;Anual;Estadual;ATLETAS QUE RECEBEM BOLSA-ATLETA QUE OBTIVERAM MELHORA DE DESEMPENHO DE SUAS MARCAS-COLOCAÇÕES-RANKINGS EM RELAÇÃO AOS NÚMEROS DO ANO ANTERIOR/ TOTAL DE ATLETAS CONTEMPLADOS NA AÇÃO DO BOLSA-ATLETA PLEITEARAM NOVAMENTE O BENEFÍCIO* 100;;;2020-10-01 15:57:00;False;MAIOR
45;ATENÇÃO HOSPITALAR ESPECIALIZADA;False;PERCENTUAL EXECUTADO DA PRODUÇÃO ASSISTENCIAL DOS COMPLEXOS DA REDE FHEMIG;False;%;100,0;;2019-12-31;100,0;;100,0;;100,0;;100,0;;SIGH - SISTEMA INTEGRADO DE GESTÃO HOSPITALAR;Anual;Estadual;(TOTAL PACIENTE DIA ATENDIDOS / TOTAL PACIENTE DIA PLANEJADO) X 100;;;2020-10-01 15:57:00;False;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;TAXA DE OCUPAÇÃO HOSPÍTALAR;False;%;94,08;;2018-12-31;90,0;;92,0;;92,0;;92,0;;SERVIÇOS DE ARQUIVO MÉDICO E ESTATÍSTICA - SAME/HUCF;Anual;Regional;TAXA DE OCUPAÇÃO HOSPITALAR (TOH)= ((NÚMEROS DE PACIENTES POR DIA INTERNADOS NO PERÍODO) / (NÚMERO DE LEITOS/DIA DISPONÍVEL NO PERÍODO)) * 100;;;2020-10-01 15:57:00;False;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;TAXA DE PERMANÊNCIA HOSPITALAR;False;Dias;7,13;;2018-12-31;6,95;;6,95;;6,95;;6,95;;SERVIÇOS DE ARQUIVO MÉDICO E ESTATÍSTICA - SAME/HUCF;Anual;Municipal;TAXA DE PERMANÊNCIA HOSPITALAR = (NÚMERO DE PACIENTES POR DIA) / (TOTAL DE SAÍDAS);;;2020-10-01 15:57:00;False;MENOR
48;ENSINO SUPERIOR - UNIMONTES;False;TAXA DE OCUPAÇÃO DE VAGAS DE RESIDENTES (R1) NOS PROGRAMAS DE RESIDÊNCIA MÉDICA;False;%;100,0;;2018-12-31;90,0;;90,0;;100,0;;100,0;;DIRETORIA DE DESENVOLVIMENTO ACADÊMICO DO HOSPITAL UNIVERSITÁRIO CLEMENTE FARIAS;Anual;Regional;TAXA DE OCUPAÇÃO DE VAGAS RESIDENTES (R1) = ((NÚMERO DE VAGAS OCUPADAS POR RESIDENTES R1 POR PERÍODO) / (NÚMERO DE VAGAS DISPONIBILIZADAS POR PERÍODO)) * 100;;;2020-10-01 15:57:00;False;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;ÍNDICE DE DOCENTES COM TITULAÇÃO DE MESTRE E/OU DOUTOR;False;%;73,7;;2018-12-31;78,0;;80,0;;82,0;;85,0;;PRÓ-REITORIA DE PÓS-GRADUAÇÃO DA UNIMONTES;Anual;Municipal;(DM+DD)/TD, ONDE, PM=DOCENTES MESTRES, DD=DOCENTES DOUTORES E TD= TOTAL DE DOCENTES;;;2020-10-01 15:57:00;False;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;ÍNDICE DE PESQUISA E INOVAÇÃO POR DOUTOR;False;Produção por Doutor;2,37;;2019-12-31;2,4;;2,5;;2,6;;2,7;;PRÓ-REITORIA DE PESQUISA DA UNIMONTES;Anual;Municipal;(TOTAL DE ARTIGOS PUBLICADOS EM PERIÓDICOS INDEXADOS AVALIADOS NO SISTEMA QUALIS/CAPES, PELOS DOCENTES DOUTORES + TOTAL DE PATENTES DEPOSITADAS PELOS DOUTORES NO INPI / (TOTAL DE DOCENTES DOUTORES);;;2020-10-01 15:57:00;False;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;PERCENTUAL DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU COM PADRÃO DE EXCELÊNCIA INTERNACIOAL;False;%;8,3;;2019-08-01;8,3;;8,3;;8,3;;8,3;;PRÓ-REITORIA DE PÓS-GRADUAÇÃO DA UNIMONTES;Anual;Municipal;(X/Y)*100X: NÚMERO DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU COM NOTA 6 OU 7Y: NÚMERO TOTAL DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU.;;;2020-10-01 15:57:00;False;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;PERCENTUAL DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU COM CONCEITO CAPES MAIOR QUE 3;False;%;50,0;;2019-08-01;50,0;;70,0;;70,0;;70,0;;PRÓ-REITORIA DE PÓS-GRADUAÇÃO DA UNIMONTES;Anual;Municipal;(X/Y)*100X: NÚMERO DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU COM NOTA MAIOR QUE 3Y: NÚMERO TOTAL DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU.;;;2020-10-01 15:57:00;False;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;PERCENTUAL DE ALUNOS ENVOLVIDOS EM ATIVIDADE DE INICIAÇÃO CIENTÍFICA;False;%;6,35;;2019-12-31;6,5;;6,6;;6,7;;6,8;;PRÓ-REITORIA DE PESQUISA DA UNIMONTES;Anual;Municipal;(X/Y)*100X: SOMATÓRIA DOS ALUNOS DE GRADUAÇÃO ENVOLVIDOS NA INICIAÇÃO CIENTÍFICA (BOLSISTA OU NÃO)Y: TOTAL DE ALUNOS MATRICULADOS NA GRADUAÇÃO;;;2020-10-01 15:57:00;False;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;PERCENTUAL DE ALUNOS ENVOLVIDOS EM ATIVIDADES DE EXTENSÃO UNIVERSITÁRIA;False;%;24,94;;2019-07-31;27,49;;28,8;;30,1;;31,2;;PRÓ-REITORIA DE EXTENSÃO DA UNIMONTES;Anual;Municipal;(X/Y)*100X: SOMATÓRIA  DOS ALUNOS DE GRADUAÇÃO ENVOLVIDOS NOS PROGRAMAS E PROJETOS DE EXTENSÃO UNIVERSITÁRIAY: TOTAL DE ALUNOS MATRICULADOS NA GRADUAÇÃO;;;2020-10-01 15:57:00;False;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;TAXA DE ALUNO FORMADO NOS CURSO TÉCNICOS DE NÍVEL MÉDIO;False;%;62,5;;2018-12-31;65,0;;67,0;;69,0;;70,0;;CENTRO DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;Anual;Municipal;(X/Y)*100X: SOMATÓRIA DOS ALUNO FORMADO NOS CURSOS TÉCNICOS DE NÍVEL MÉDIOY: TOTAL DE ALUNOS MATRICULADOS NOS CURSOS TÉCNICOS DE NÍVEL MÉDIO.;;;2020-10-01 15:57:00;False;MAIOR
50;TURISMO COMPETITIVO;False;FLUXO TURÍSTICO EM MINAS GERAIS;False;turista;30955835,0;;2019-12-31;10000000,0;;15000000,0;;20000000,0;;25000000,0;;OBSERVATÓRIO DO TURISMO DE MINAS GERAIS;Anual;Estadual;SOMATÓRIO [(Nº TOTAL DE VAGAS OFERTADAS EM HOTÉIS LEVANTADAS PELA RELAÇÃO ANUAL DE INFORMAÇÕES SOCIAIS (RAIS) E INVENTÁRIOS X TAXA DE OCUPAÇÃO MÉDIA DOS HOTÉIS LEVANTADOS PELOS BOLETINS DE OCUPAÇÃO HOTELEIRA (BOHS) X 100)/(PERCENTUAL DE OCUPAÇÃO EM HOTÉIS LEVANTADO PELA PESQUISA DE DEMANDA)];;;2020-10-01 15:57:00;False;MAIOR
54;EQUIPAMENTOS CULTURAIS, CORPOS ARTÍSTICOS E ÓRGÃOS COLEGIADOS;False;NÚMERO DE ATIVIDADES CULTURAIS DA ORQUESTRA FILARMÔNICA, ORQUESTRA SINFÔNICA, CORAL LÍRICO DA CIA DE DANÇA, DO CINE HUMBERTO MAURO, ARTES VISUAIS E DO CEFART;False;Atividade;3837,0;;2019-01-15;3664,0;;3664,0;;3664,0;;3666,0;;FUNDAÇÃO CLÓVIS SALGADO E SECULT (COMISSÃO SUPERVISORA DO CONTRATO DE GESTÃO DA ORQUESTRA FILARMÔNICA).;Anual;Estadual;SOMATÓRIO DAS ATIVIDADES DESENVOLVIDAS PELA ORQUESTRA FILARMÔNICA, ORQUESTRA SINFÔNICA,  CORAL LÍRICO, CIA DE DANÇA, CINE HUMBERTO MAURO, ARTES VISUAIS E  CEFART;;;2020-10-01 15:57:00;False;MAIOR
54;EQUIPAMENTOS CULTURAIS, CORPOS ARTÍSTICOS E ÓRGÃOS COLEGIADOS;False;PÚBLICO DO CIRCUITO LIBERDADE;False;visitante;2553248,0;;2019-12-31;1739676,0;;2162043,0;;2248524,0;;2338465,0;;INSTITUTO ESTADUAL DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO - IEPHA;Anual;Municipal;SOMATÓRIO DOS VISITANTES DOS EQUIPAMENTOS CULTURAIS DO CIRCUITO LIBERDADE.;;;2020-10-01 15:57:00;False;MAIOR
55;PROTEÇÃO E DEFESA CIVIL;False;INDICE DE CAPACITAÇÕES EM DEFESA CIVIL;False;Percentual;19,0;;2020-12-31;197,0;;197,0;;197,0;;0,0;;GABINETE MILITAR DO GOVERNADOR/COORDENADORIA ESTADUAL DE DEFESA CIVIL;Trimestral;Estadual;ICDC = (REDEC + COMPDEC) * 100 / 610DONDE:ICDC = INDICE DE CAPACITAÇÃO EM DEFESA CIVILREDEC = QUANTIDADE DE UNIDADES REGIONAIS DE DEFESA CIVIL COM NO MÍNIMO DE 2 PROFISSIONAIS TREINADOS (LIMITADO A 16 REDEC)COMPDEC = QUANTIDADE DE COORDENADORIAS MUNICIPAIS DE PROTEÇÃO E DEFESA CIVIL, COM NO MÍNIMO DE 2 PROFISSIONAIS TREINADOS (LIMITADO A 594 COMPDEC CADASTRADAS JUNTO AO GMG ATÉ 31/12/2019)610 = SOMATÓRIO DE REDEC E COMPDEC EXISTENTES EM 31/12/2019;;;2020-10-01 15:57:00;False;MAIOR
55;PROTEÇÃO E DEFESA CIVIL;False;INDICE DE PLANO DE CONTINGÊNCIA ELABORADOS;False;Percentual;6,0;;2019-12-31;25,0;;25,0;;25,0;;0,0;;GABINETE MILITAR DO GOVERNADOR COORDENADORIA ESTADUAL DE DEFESA CIVIL;Trimestral;Estadual;IPC = Nº DE PLANOS DE CONTINGÊNCIA ELABORADOS/ Nº DE MUNICÍPIOS COM COMPDECS CADASTRADAS NO GMG X 100;;;2020-10-01 15:57:00;True;MAIOR
